Availability,Property Type,Project Name,Location,Min SFT,Max SFT,Builder's Price,One time Payment,Last Updated,Delivery Date,Ownership,POC,BHK,Rera,Builder Name,Project Details Drive Link,Current inventory,Min Budget,Max Budget,Nearby Locations (2km),Google Location,On bOard Status
TBD,Apartment,Cybercity Westbrook,Kokapet,1075,2400,9700+15l amenities,9699,11/02/2025,"Oct, 2025",LandLord,,2 & 3 & 4,P02400003031,Cybercity Developers,https://drive.google.com/file/d/1GdMgGlKsgmwpWfdS-BfTN6ec9aeY7Znn/view?usp=sharing,,10426425,,"Narsingi, Gandipet, Puppalaguda, Manchirevula",https://maps.app.goo.gl/HkgS2x8jEEeFwRNL7,call back later
TBD,Apartment,Lotus Grand,Kokapet,1131,2487,,7999,,RTM,LandLord,,2 & 3,P02400003546,Hirize Developers,https://drive.google.com/file/d/1BDgxZxHZnQoWXiqaY_L8inWicHhjpB08/view?usp=drive_link,,9046869,,"Narsingi, Gandipet, Puppalaguda, Manchirevula",https://maps.app.goo.gl/L5oPV4ydBPVhPWiF7,shared details of square select
TBD,Apartment,Acasa ,Kokapet,3200,3700,9000,9500,10/02/2025,"Apr, 2028",LandLord,,3 & 4,P02400006471,Simchah Estates,https://drive.google.com/drive/folders/1KRseeCv_ENP-rWmdUPt5KF5kT2gJA93g?usp=drive_link,,30400000,,"Narsingi, Gandipet, Puppalaguda, Manchirevula",https://maps.app.goo.gl/BscUpiKk5HG1D9Uw9,invited to film nagar office for registration
TBD,Apartment,Trilight,Kokapet,2888-5777,10111-11333,13000 all inclu,,10/02/2025,"Oct, 2027",LandLord,,"3, 4&5",P02400005390,De BlueOak & P Mangatram,https://drive.google.com/file/d/1IB2QWAeBADvPYnt8qDls078pyhveEi5W/view?usp=drive_link,,#VALUE!,,"Narsingi, Gandipet, Puppalaguda, Manchirevula",https://maps.app.goo.gl/4R72DPEAgVURQqFx9,invited to office for registration on wednesday 
Yes,Villa,Elegans Emperia Homes,Kollur,207  Sq yards,240 Sq yards,,12500++,,"Oct, 2025",LandLord,,4 & 5 BHK Villas,P01100002447,Elegans Group,https://drive.google.com/file/d/1FdEfbjqGWvUwP2HtjhF4T2jhrB8KoOsr/view?usp=drive_link,,#VALUE!,,"Osman Nagar, Tellapur",https://maps.app.goo.gl/GmSNjHqDmqsa7ezE7,
Sold Out,Villa,Hallmark Nature Nest,Kollur,2745,6435,,8999,,"Mar, 2028",LandLord,,4BHK,P01100008243,Hallmark,https://drive.google.com/file/d/1sQHv4wpLsQjyewg0bXJujlixf0VA8-_i/view?usp=drive_link,,24702255,,"Osman Nagar, Tellapur",https://maps.app.goo.gl/4XYsUeGeEFt3FyFh9,
Yes,Apartment,Candeur Lakescape,Kondapur,1149,2416 sq.ft.,8800++,7000,17/02/2025,"Dec, 2028",LandLord,,2 & 3,P02400005724,Canduer,https://drive.google.com/file/d/1KwqVvSyT63FQIQdueAzssNnsUWU6Gi6U/view?usp=drive_link,,8043000,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/zcY9mDooLVxepYqK7,invited to kondapur office for registration
No,Apartment,RNP STELLAR ONE,Kondapur,1585,2190 sq.ft.,8500,8900+,,RTM,LandLord,,2 & 3,P02400003165,RNP,https://drive.google.com/file/d/1Q_z0olYO-7J4Iaw1pJrzJzDFdnLYJB88/view?usp=drive_link,,14106500,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/VNUb5maHr2xbR6bs9,
Yes,Apartment,Vrindhavan (Namisree),Kondapur,1475, 2996 sq.ft.,7500++,6500,17/02/2025,"Aug, 2029",LandLord,,3 & 4,P02400008653,Namishree,https://drive.google.com/drive/folders/1C74Ooslangy8jpNbEdkXa35LHUuMIM1g?usp=drive_link,,9587500,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/zL8A7ar6gcRsVj8h7,
No,Apartment,Indis Viva city,Kondapur,1367,2597 sq.ft.,9500,,,"Apr, 2027",LandLord,,2 & 3,P02400001477,Indis,https://drive.google.com/file/d/1-inoE8ksglk5mQNYuj2i0eGYcFhWnbfn/view?usp=sharing,,0,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/jJrZYLKJp7iiSwzN9,
