Availability,Property Type,Project Name,Location,Min SFT,Max SFT,Builder's Price,One time Payment,Last Updated,Delivery Date,Ownership,POC,BHK,Rera,Builder Name,Project Details Drive Link,Current inventory,Min Budget,Max Budget,Nearby Locations (2km),Google Location,On bOard Status
Sold Out,Villa,Vertex Kingston Park,Serilingampalli,4020,5725,20000/sft,20000/sft,10/02/2025,"Feb, 2027",LandLord,,4 & 5,P02400002807,Vertex,https://drive.google.com/drive/folders/14Yaf2s0EK8duq7LVQGWxOhni0bM9ws3j?usp=sharing,,#VALUE!,,"Manikonda, Nanakramguda, Puppalaguda, Shaikpet",https://maps.app.goo.gl/dseJ58kdHTBP6rx87,
Yes,Apartment,Aparna One,shaikpet,2635, 5216 sq.ft.,15299,15000 ++,25/01/2025,RTM,LandLord,,2 & 3,P02500000269,Aparna Constructions,https://drive.google.com/file/d/1ch6H7qgAhq1clX-rrEBgqsPkBYJs1cvH/view?usp=drive_link,,#VALUE!,,"Kondapur, Nanakramguda, Serilingampally, Raidurg",https://maps.app.goo.gl/Zt3HfFEFYZRqsuV86,
No,Villa,Treetop by Prajay,Shamirpet,1496,3730,7200+5l amenities+200 east ,,16/01/2025,RTM,LandLord,,3 BHK Villas,P02200002910,Prajay,https://drive.google.com/file/d/1VqtElx-RIWMM0mS0b0gzzPBGHkfUnsNf/view?usp=drive_link,,0,,"Thumkunta, Bommarasipet, Ponnal Village Road, Thumukunta",https://maps.app.goo.gl/D2eWFYaJtYrfewfK7,shared contact details
Sold Out,Plot,Orange Vistas,Shankarpally,60 sq yards,240 sq yards,45000/sq yard,,01/02/2025,RTM,LandLord,,,HMDA: 34/LO/Plg/HMDA/201,Vishnu Ventures,https://drive.google.com/file/d/1Q62m2LnmSlVVXbHrBNlpi9qmiBMUjrUg/view?usp=drive_link,,#VALUE!,,"Patancheru, Mokila, Chevella, Kondakal",https://maps.app.goo.gl/qnZDAUTeWVoKKeJF7,
Sold Out,Apartment,My Home Tridasa,Tellapur,1243, 1840 sq.ft.,"8600/phase 1, 8300/phase 2",,25/01/2025,RTM,LandLord,,2 & 3,P01100002276,My Home,https://drive.google.com/file/d/1jVBamc_KWuqSBNyNGx3xsHMHY97pGIuS/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/Fsx5RNaBcEgWW1es8,
Sold Out,Apartment,My Home Ankura,Tellapur,3223, 4756 sq.ft.,16900,,,RTM,LandLord,,2 & 3,P01100000375,My Home,https://drive.google.com/file/d/12jryv41eQfwgswqLYQlSNQknUixusZ08/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/5EswJHNDBNVbc1aN9,
Yes,Apartment,Anvitha high 9,Tellapur,1855,2615sq ft,"7000(20-80 loan),5800 otp",5500,25/01/2025,"Dec, 2027",LandLord,9581686831 vishal CP Manager,2 & 3,P01100008195,Anvitha,https://drive.google.com/file/d/1XTE3ZRz-qyltIwBez6nGVbWLaxPRlQ-k/view?usp=drive_link,"1855-2615,3 bhk",10202500,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/9b9WH6ff5sLmytVCA,invited to office for registration
Yes,Apartment,Raghava Wave,Tellapur,1660,1930,7200,5000 +,,"Oct, 2027",LandLord,,3,P01100007254,Raghava,https://drive.google.com/file/d/1efljA1sDlK7QwzCI5nMAs487ApqRToVT/view?usp=drive_link,,8300000,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/T5B549RCu8x2vfeT6,invited to office for registration
No,Apartment,My Home Avali,Tellapur,3000,3612,8400/sft,,25/01/2025,"Apr, 2028",LandLord,,3 & 4 BHK'S,P01100006233,My Home,https://drive.google.com/file/d/1ce_BaSNItet5XRpYrosIAUd6Of5jIRec/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/Hsra5FPSTLh5ZzvE6,
No,Apartment,My Home Sayuk,Tellapur,1355,2262,8300/sft,,25/01/2025,"Oct, 2026",LandLord,,"2,2.5&3BHK'S",P01100004593,My Home,https://drive.google.com/file/d/1jGCQjWZecLQk2bVwknUivW7sBEqA_oPq/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/2LXZriL58PwKhHeGA,
No,Apartment,Bricks Skywoods,Tellapur,1725,2175,,,10/02/2025,"Jul, 2028",LandLord,,2 & 3,P02400000444,Bricks Infratech,https://drive.google.com/file/d/1sYsvJ2ALYsYt5mqrIWp-c6WkrRzRjXoV/view?usp=drive_link,NO PRICE INFO FROM BUILDER AS IT IS COMPLETED,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/CkqY6jvmPzu1ZYdPA,
TBD,Apartment,Divine Spaces,Tellapur,1230,2195,7249++,,10/02/2025,"Dec, 2026",LandLord,,2 & 3,P01100005787,Divine Homes,https://drive.google.com/file/d/1SEye0FY_4SkSrTA8en3O5VZKmtPhWOwQ/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/FHZUS551pZDpjCDB9,
No,Apartment,Vision's Arsha,Tellapur,1390,2700,1.7cr,,,"Dec, 2025",LandLord,,2 & 3,P01100005595,Vision Infra Developers,https://drive.google.com/file/d/1I8WoLHtSN_s92qWOxiZKanZUI_2iEK6e/view?usp=drive_link,,0,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/PVymPrtuZ7exrUzMA,
Sold Out,Villa,Muppa Indraprasthan,Tellapur,235,300,120000/sq yard,5-8Cr,10/02/2025,RTM,LandLord,,4BHK,P01100000141,Muppa,https://drive.google.com/drive/folders/1FItMeVKyY7v9x0RczxjdZeUHno7iq7Xt?usp=sharing,,#VALUE!,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/pekdEjiFK1yU5SjA8,
TBD,Apartment,Marvella by Bricks Infra,Tellapur,1385,3570,7200++,6199,10/02/2025,"Mar, 2027",LandLord,,"2, 2.5, 3 & 4",P01100007008,Bricks Infratech,https://drive.google.com/drive/folders/1y4we2tl_91vz0W5B5H3RSp8kj3Z_9qWz?usp=drive_link,,#REF!,,"Nallagandla, Gopanapalli, Osman Nagar, Gopanapalli Thanda",https://maps.app.goo.gl/1KCZqeBw2QafpHEA8,
TBD,Plot,Vertex Giga Citi,Tukkuguda,300,1500,55000/sq yrd,"40000/phase 7, 45000/phase1&4",10/02/2025,RTC,LandLord,,,P02400002792,Vertex,https://drive.google.com/drive/folders/1cBna-N7NOmox63F90fwWuoRkO0nA_hKe?usp=sharing,,#VALUE!,,"Adibatla, Maheshwaram, Raviryala, Kongara Kalan",https://maps.app.goo.gl/JRr5h5vgU9GytJS16,
TBD,Villa,Supadha Geethika,Velimela,5320,6390,19000,,10/02/2025,"Jan, 2028",LandLord,,5BHK Villas,P01100005949,Supadha,https://drive.google.com/drive/folders/16BXb-p0463dNB06Wy29iKp3fATb1GBJf?usp=sharing,,0,,"Edulanagulapalle, Kollur, Tellapur, Pati, Bhanur, HIG Phase Colony, Annamayya Enclave",https://maps.app.goo.gl/LgU2Pz9awJknoa8SA,
No,Villa,Hallmark 5A,Velimela,167,242,10999,10999,01/02/2025,RTM,LandLord,,4BHK,P01100004115,Hallmark,https://drive.google.com/file/d/1ltoBl_O2ag4XgdlhZ0_7UM8LfHZza-0_/view?usp=drive_link,,1836833,,"Edulanagulapalle, Kollur, Tellapur, Pati, Bhanur, HIG Phase Colony, Annamayya Enclave",https://maps.app.goo.gl/8tNhk2tKxRReX95m8,not responding
